Binary,Integer,Number of Gates,Optimal Network
0000.0000.1010.1101,173,7,"O = NAND(I1, I7)
I1 = NAND(I2, I3)
I2 = NAND(d, a)
I3 = NAND(I4, I2)
I4 = NAND(I5, a)
I5 = NAND(b, c)"
0000.0000.1010.1110,174,5,"O = NAND(I1)
I1 = NAND(I2, a)
I2 = NAND(d, I3)
I3 = NAND(I4, b)
I4 = NAND(c)"
0000.0000.1011.1100,188,8,"O = NAND(I1, I7)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(c)
I4 = NAND(I5)
I5 = NAND(I6, a)
I6 = NAND(b, c)
I7 = NAND(b, I4)"
0000.0000.1011.1101,189,8,"O = NAND(I1)
I1 = NAND(I2, a)
I2 = NAND(I3, I7)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(c)
I6 = NAND(b, c)
I7 = NAND(b, d)"
0000.0000.1011.1110,190,8,"O = NAND(I1, I5)
I1 = NAND(I2, a)
I2 = NAND(d, I3)
I3 = NAND(I4, c)
I4 = NAND(b, c)
I5 = NAND(b, I6)
I6 = NAND(I7)
I7 = NAND(I4, a)"
0000.0000.1011.1111,191,5,"O = NAND(I1, I4)
I1 = NAND(I2, a)
I2 = NAND(d, I3)
I3 = NAND(c)
I4 = NAND(a, b)"
0000.0000.1110.1000,232,9,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(c, d)
I3 = NAND(I4)
I4 = NAND(I5, a)
I5 = NAND(b, I6)
I6 = NAND(I7, I8)
I7 = NAND(d)
I8 = NAND(c)"
0000.0000.1110.1001,233,10,"O = NAND(I1, I11)
I1 = NAND(I2, I3)
I2 = NAND(c, d)
I3 = NAND(I4)
I4 = NAND(I5, a)
I5 = NAND(b, I6)
I6 = NAND(I7, I9)
I7 = NAND(d, I2)
I9 = NAND(c, I2)"
0000.0000.1110.1010,234,6,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(c, d)
I3 = NAND(I4)
I4 = NAND(I5, a)
I5 = NAND(b, d)"
0000.0000.1110.1011,235,7,"O = NAND(I1)
I1 = NAND(I2, a)
I2 = NAND(d, I3)
I3 = NAND(I4, I6)
I4 = NAND(c, I5)
I5 = NAND(c, b)
I6 = NAND(b, I5)"
0000.0000.1110.1111,239,4,"O = NAND(I1, I3)
I1 = NAND(I2, a)
I2 = NAND(c, d)
I3 = NAND(a, b)"
0000.0000.1111.1110,254,5,"O = NAND(I1, I3)
I1 = NAND(I2, a)
I2 = NAND(b, c)
I3 = NAND(I4, a)
I4 = NAND(d)"
0000.0001.0001.0110,278,11,"O = NAND(I1, I12)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I8)
I4 = NAND(b, I5)
I5 = NAND(I6, I7)
I6 = NAND(c, d)
I7 = NAND(a, c)
I8 = NAND(I9, d)
I9 = NAND(I7, I2)"
0000.0001.0001.0111,279,8,"O = NAND(I1, I5)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(a, d)
I5 = NAND(a, I6)
I6 = NAND(I3, I8)"
0000.0001.0001.1000,280,10,"O = NAND(I1)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, d)
I4 = NAND(a, b)
I5 = NAND(I6, I7)
I6 = NAND(d, b)
I7 = NAND(c, a)
I8 = NAND(I9, I4)
I9 = NAND(c, I5)"
0000.0001.0001.1001,281,9,"O = NAND(I1)
I1 = NAND(I2, I6)
I2 = NAND(I3, I4)
I3 = NAND(b, c)
I4 = NAND(a, I5)
I5 = NAND(d, b)
I6 = NAND(I7, I8)
I7 = NAND(d, c)
I8 = NAND(I3, b)"
0000.0001.0001.1010,282,9,"O = NAND(I1, I9)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I2)
I4 = NAND(I5, c)
I5 = NAND(I6, I7)
I6 = NAND(b, d)
I7 = NAND(a, d)"
0000.0001.0001.1011,283,8,"O = NAND(I1, I4)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(a, I5)
I5 = NAND(I3, I7)
I7 = NAND(I8, b)"
0000.0001.0001.1110,286,9,"O = NAND(I1, I12)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I8)
I4 = NAND(b, I5)
I5 = NAND(I6, I2)
I6 = NAND(c, d)
I8 = NAND(a, I5)"
0000.0001.0001.1111,287,6,"O = NAND(I1, I6)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(I3, a)"
0000.0001.0010.1000,296,10,"O = NAND(I1)
I1 = NAND(I2, I10)
I2 = NAND(I3, I5)
I3 = NAND(I4, d)
I4 = NAND(a, c)
I5 = NAND(I6, I9)
I6 = NAND(I4, I8)
I8 = NAND(a, b)
I9 = NAND(b, c)"
0000.0001.0010.1001,297,10,"O = NAND(I1, I10)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(I5, a)
I5 = NAND(b, I6)
I6 = NAND(I7, I9)
I7 = NAND(I3, c)
I9 = NAND(b, d)"
0000.0001.0010.1010,298,9,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(a, d)
I3 = NAND(I4, I8)
I4 = NAND(b, I5)
I5 = NAND(I6, I7)
I6 = NAND(c, d)
I7 = NAND(a)
I8 = NAND(a, c)"
0000.0001.0010.1011,299,8,"O = NAND(I1, I6)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(I5, a)
I5 = NAND(d)
I6 = NAND(I7, c)
I7 = NAND(I4)"
0000.0001.0010.1100,300,10,"O = NAND(I1, I12)
I1 = NAND(I2, I6)
I2 = NAND(a, I3)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(a, b)
I6 = NAND(I7, I11)
I7 = NAND(b, I3)"
0000.0001.0010.1101,301,9,"O = NAND(I1, I6)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(I5, a)
I5 = NAND(b, c)
I6 = NAND(I7, c)
I7 = NAND(I8)
I8 = NAND(I3, I2)"
0000.0001.0010.1110,302,9,"O = NAND(I1)
I1 = NAND(I2, I5)
I2 = NAND(a, I3)
I3 = NAND(I4, a)
I4 = NAND(c, d)
I5 = NAND(I6, I11)
I6 = NAND(b, I7)
I7 = NAND(I4, I3)"
0000.0001.0010.1111,303,7,"O = NAND(I1, I6)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(I3, a)
I6 = NAND(I7, c)"
0000.0001.0011.1100,316,9,"O = NAND(I1, I9)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I8)
I4 = NAND(b, I5)
I5 = NAND(I6, I2)
I6 = NAND(c, d)
I8 = NAND(a, c)"
0000.0001.0011.1101,317,8,"O = NAND(I1, I6)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(a, I5)
I5 = NAND(b, c)
I6 = NAND(I7, c)
I7 = NAND(I4)"
0000.0001.0011.1110,318,9,"O = NAND(I1, I9)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I8)
I4 = NAND(b, I5)
I5 = NAND(I6, I2)
I6 = NAND(c, d)
I8 = NAND(a, c)"
0000.0001.0011.1111,319,6,"O = NAND(I1, I5)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(a)
I5 = NAND(a, c)"
0000.0001.0110.1000,360,12,"O = NAND(I1)
I1 = NAND(I2, I13)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(a, d)
I5 = NAND(a, I6)
I6 = NAND(I7, I11)
I7 = NAND(I8, I9)
I8 = NAND(b, d)
I9 = NAND(a, I4)
I11 = NAND(I8, b)"
0000.0001.0110.1001,361,10,"O = NAND(I1, I11)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(a, I5)
I5 = NAND(I6, b)
I6 = NAND(I7, I9)
I7 = NAND(d, I3)
I9 = NAND(c, I3)"
0000.0001.0110.1010,362,11,"O = NAND(I1, I9)
I1 = NAND(I2, d)
I2 = NAND(I3, d)
I3 = NAND(I4, I5)
I4 = NAND(a, b)
I5 = NAND(I6, I7)
I6 = NAND(b, c)
I7 = NAND(a, I8)
I8 = NAND(c, a)
I9 = NAND(I10, I2)
I10 = NAND(I4, I8)"
0000.0001.0110.1011,363,10,"O = NAND(I1, I6)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(a, I5)
I5 = NAND(d, b)
I6 = NAND(I7, I3)
I7 = NAND(I8, I13)
I8 = NAND(d, I2)"
0000.0001.0110.1110,366,10,"O = NAND(I1, I8)
I1 = NAND(I2, I5)
I2 = NAND(I3, c)
I3 = NAND(I4, b)
I4 = NAND(a, d)
I5 = NAND(I6, I4)
I6 = NAND(c, d)
I8 = NAND(a, I9)
I9 = NAND(I3, I12)"
0000.0001.0110.1111,367,9,"O = NAND(I1, I5)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(a)
I5 = NAND(I6, I3)
I6 = NAND(I7, I8)
I7 = NAND(d, a)
I8 = NAND(c, a)"
0000.0001.0111.1110,382,11,"O = NAND(I1, I9)
I1 = NAND(I2, I3)
I2 = NAND(a, c)
I3 = NAND(I4, I9)
I4 = NAND(b, I5)
I5 = NAND(I6, I7)
I6 = NAND(c, d)
I7 = NAND(a, I2)
I9 = NAND(a, I10)
I10 = NAND(I11, I5)"
0000.0001.0111.1111,383,9,"O = NAND(I1, I5)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(a)
I5 = NAND(I6)
I6 = NAND(I7, I8)
I7 = NAND(d, a)
I8 = NAND(c, a)"
0000.0001.1000.0000,384,10,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(a, c)
I3 = NAND(I4)
I4 = NAND(I5, I9)
I5 = NAND(I6, I7)
I6 = NAND(b, c)
I7 = NAND(a, I8)
I8 = NAND(d)
I9 = NAND(I8, b)"
0000.0001.1000.0001,385,10,"O = NAND(I1, I10)
I1 = NAND(b, I2)
I2 = NAND(I3, I6)
I3 = NAND(c, I4)
I4 = NAND(b, I5)
I5 = NAND(d)
I6 = NAND(I5, I4)"
0000.0001.1000.0010,386,11,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(a, d)
I3 = NAND(I4, I10)
I4 = NAND(b, I5)
I5 = NAND(I6, I7)
I6 = NAND(c, d)
I7 = NAND(a, I8)
I8 = NAND(b, I9)
I9 = NAND(c)
I10 = NAND(I5, I9)"
0000.0001.1000.0011,387,10,"O = NAND(I1, I9)
I1 = NAND(b, I2)
I2 = NAND(I3, I6)
I3 = NAND(I4, d)
I4 = NAND(I5, b)
I5 = NAND(c)
I6 = NAND(I4, a)
I9 = NAND(I2, I17)"
0000.0001.1000.0110,390,11,"O = NAND(I1, I12)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I2)
I4 = NAND(I5, I9)
I5 = NAND(I6, I7)
I6 = NAND(b, c)
I7 = NAND(a, I8)
I8 = NAND(d)
I9 = NAND(I8, c)"
0000.0001.1000.0111,391,11,"O = NAND(I1, I10)
I1 = NAND(b, I2)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(I5, a)
I5 = NAND(b, I6)
I6 = NAND(I7)
I7 = NAND(I8, I9)
I8 = NAND(d)
I9 = NAND(c)
I10 = NAND(I6, I2)"
0000.0001.1000.1000,392,8,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(a, c)
I3 = NAND(I4, I7)
I4 = NAND(I5, d)
I5 = NAND(I6, d)
I6 = NAND(b, c)
I7 = NAND(a, I5)"
0000.0001.1000.1001,393,7,"O = NAND(I1)
I1 = NAND(I2, I6)
I2 = NAND(I3, I4)
I3 = NAND(b, c)
I4 = NAND(a, I5)
I5 = NAND(d)
I6 = NAND(I5, c)"
