Binary,Integer,Number of Gates,Optimal Network
1001.0110.1000.0000,38528,12,"O = NAND(I1, I20)
I1 = NAND(I2, I8)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(b, I5)
I5 = NAND(b, I6)
I6 = NAND(c, I7)
I7 = NAND(a)
I8 = NAND(I9, I18)
I9 = NAND(I3, I5)"
1001.0110.1000.0001,38529,13,"O = NAND(I1, I16)
I1 = NAND(I2, I6)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(b, I5)
I5 = NAND(a)
I6 = NAND(I7, I13)
I7 = NAND(I3, I11)
I11 = NAND(b, I12)
I12 = NAND(c, b)"
1001.0110.1000.0010,38530,10,"O = NAND(I1, I17)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(a, d)"
1001.0110.1000.0011,38531,12,"O = NAND(I1, I27)
I1 = NAND(I2, I9)
I2 = NAND(d, I3)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(I4, I15)"
1001.0110.1000.0110,38534,10,"O = NAND(I1, I15)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I8)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(a, d)
I7 = NAND(b)
I8 = NAND(b, c)"
1001.0110.1000.0111,38535,10,"O = NAND(I1, I25)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I10)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(a, d)
I7 = NAND(b, I5)"
1001.0110.1000.1000,38536,11,"O = NAND(I1, I16)
I1 = NAND(I2, I12)
I2 = NAND(I3, I12)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(c, I6)
I6 = NAND(c, I7)
I7 = NAND(d, I8)
I8 = NAND(a)"
1001.0110.1000.1001,38537,12,"O = NAND(I1, I18)
I1 = NAND(I2, I14)
I2 = NAND(I3, I14)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(c, I6)
I6 = NAND(c, I7)
I7 = NAND(d, I8)
I8 = NAND(a, I9)
I9 = NAND(a, b)"
1001.0110.1000.1010,38538,11,"O = NAND(I1, I17)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(a, d)
I7 = NAND(b, I8)
I8 = NAND(a)
I9 = NAND(b, c)"
1001.0110.1000.1011,38539,12,"O = NAND(I1, I22)
I1 = NAND(I2, I12)
I2 = NAND(I3, I12)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(c, I6)
I6 = NAND(c, I7)
I7 = NAND(d, I8)
I8 = NAND(a)"
1001.0110.1000.1110,38542,11,"O = NAND(I1, I19)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I10)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(a, d)
I7 = NAND(b, I8)
I8 = NAND(a, I6)
I10 = NAND(b, c)"
1001.0110.1000.1111,38543,11,"O = NAND(I1, I14)
I1 = NAND(I2, I12)
I2 = NAND(I3)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(c, I6)
I6 = NAND(c, I7)
I7 = NAND(d, I8)
I8 = NAND(a)"
1001.0110.1001.0111,38551,10,"O = NAND(I1, I10)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(a, b)
I4 = NAND(I5)
I5 = NAND(I6, I8)
I6 = NAND(c, I7)
I7 = NAND(c, b)
I8 = NAND(b, I7)"
1001.0110.1001.1000,38552,10,"O = NAND(I1, I14)
I1 = NAND(I2, I8)
I2 = NAND(I3, I8)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(d, c)
I6 = NAND(c, I5)
I8 = NAND(b, I9)
I9 = NAND(a, I5)"
1001.0110.1001.1001,38553,10,"O = NAND(I1, I25)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I10)
I4 = NAND(I5, I6)
I5 = NAND(c, I6)
I6 = NAND(b, I7)
I7 = NAND(a)"
1001.0110.1001.1010,38554,10,"O = NAND(I1, I17)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(a, b)"
1001.0110.1001.1011,38555,10,"O = NAND(I1, I16)
I1 = NAND(I2, I8)
I2 = NAND(I3, I8)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(d, c)
I6 = NAND(c, I5)
I8 = NAND(b, I9)
I9 = NAND(a, I6)"
1001.0110.1001.1110,38558,10,"O = NAND(I1, I10)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(a, b)"
1001.0110.1001.1111,38559,10,"O = NAND(I1, I21)
I1 = NAND(I2, I9)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(I4, I3)"
1001.0110.1010.1000,38568,13,"O = NAND(I1, I23)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I11)
I4 = NAND(I5, I9)
I5 = NAND(c, I6)
I6 = NAND(b, I7)
I7 = NAND(a, I8)
I8 = NAND(d)
I9 = NAND(b, I10)
I10 = NAND(c, b)
I11 = NAND(a, I10)"
1001.0110.1010.1001,38569,12,"O = NAND(I1, I21)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I10)
I4 = NAND(I5, I8)
I5 = NAND(c, I6)
I6 = NAND(b, I7)
I7 = NAND(a)
I8 = NAND(b, I9)
I9 = NAND(c, b)
I10 = NAND(a, I9)"
1001.0110.1010.1010,38570,10,"O = NAND(I1, I17)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(a)"
1001.0110.1010.1011,38571,12,"O = NAND(I1, I18)
I1 = NAND(I2, I10)
I2 = NAND(d, I3)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(a)
I10 = NAND(I4, I16)"
1001.0110.1010.1100,38572,13,"O = NAND(I1, I20)
I1 = NAND(I2, I11)
I2 = NAND(d, I3)
I3 = NAND(I4, I7)
I4 = NAND(I5, I8)
I5 = NAND(c, I6)
I6 = NAND(b, I7)
I7 = NAND(a, c)
I8 = NAND(b, I9)
I9 = NAND(c, b)
I11 = NAND(I4, I18)"
1001.0110.1010.1101,38573,12,"O = NAND(I1, I14)
I1 = NAND(I2, I13)
I2 = NAND(I3, I9)
I3 = NAND(I4, I5)
I4 = NAND(d, I5)
I5 = NAND(c, I6)
I6 = NAND(a, c)
I9 = NAND(I4, d)"
1001.0110.1010.1110,38574,11,"O = NAND(I1, I19)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(a, I10)
I10 = NAND(d, b)"
1001.0110.1010.1111,38575,11,"O = NAND(I1, I15)
I1 = NAND(I2, I13)
I2 = NAND(I3, I9)
I3 = NAND(I4, I5)
I4 = NAND(d, I5)
I5 = NAND(c, I6)
I6 = NAND(a)
I9 = NAND(I4, d)"
1001.0110.1011.1100,38588,12,"O = NAND(I1, I13)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4, I11)
I4 = NAND(I5, I9)
I5 = NAND(c, I6)
I6 = NAND(b, I7)
I7 = NAND(a, I2)
I9 = NAND(b, I10)
I10 = NAND(c, b)
I11 = NAND(a, I10)"
1001.0110.1011.1101,38589,12,"O = NAND(I1, I12)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4, I10)
I4 = NAND(I5, I8)
I5 = NAND(c, I6)
I6 = NAND(b, I7)
I7 = NAND(a)
I8 = NAND(b, I9)
I9 = NAND(c, b)
I10 = NAND(a, I9)"
1001.0110.1011.1110,38590,10,"O = NAND(I1, I21)
I1 = NAND(I2, I9)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(I4, I3)"
1001.0110.1011.1111,38591,10,"O = NAND(I1, I21)
I1 = NAND(I2, I14)
I2 = NAND(I3, I8)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(d, c)
I6 = NAND(c, I5)
I8 = NAND(b, I3)"
1001.0110.1110.1000,38632,14,"O = NAND(I1, I33)
I1 = NAND(I2, I9)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(b, d)
I7 = NAND(b, I8)
I8 = NAND(b, c)
I9 = NAND(I4, I15)"
1001.0110.1110.1001,38633,13,"O = NAND(I1, I26)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4, I10)
I4 = NAND(I5, I12)
I5 = NAND(c, I6)
I6 = NAND(c, I7)
I7 = NAND(I8, I10)
I8 = NAND(b, I9)
I9 = NAND(a, b)
I10 = NAND(a, I9)
I12 = NAND(I7, I6)"
1001.0110.1110.1010,38634,13,"O = NAND(I1, I30)
I1 = NAND(I2, I18)
I2 = NAND(d, I3)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(I10, a)
I10 = NAND(I6, I12)
I12 = NAND(d, I4)"
1001.0110.1110.1011,38635,12,"O = NAND(I1, I22)
I1 = NAND(I2, I10)
I2 = NAND(d, I3)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(a)
I10 = NAND(I4, I16)"
1001.0110.1110.1110,38638,12,"O = NAND(I1, I3)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(I4, d)
I4 = NAND(I5, I10)
I5 = NAND(I6, I12)
I6 = NAND(I7, I9)
I7 = NAND(c, I8)
I8 = NAND(a, c)
I9 = NAND(b, I10)
I10 = NAND(a, I8)"
1001.0110.1110.1111,38639,12,"O = NAND(I1, I22)
I1 = NAND(I2, I10)
I2 = NAND(d, I3)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(a, c)
I10 = NAND(I4, I16)"
1001.0110.1111.1110,38654,10,"O = NAND(I1, I21)
I1 = NAND(I2, I9)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(I4, I3)"
1001.0110.1111.1111,38655,10,"O = NAND(I1, I21)
I1 = NAND(I2, I9)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(b, I6)
I9 = NAND(I4, I3)"
1001.0111.0111.1110,38782,14,"O = NAND(I1, I17)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(a, b)
I5 = NAND(I6, I12)
I6 = NAND(I3, I9)
I9 = NAND(I10, I4)
I10 = NAND(I11, I13)
I11 = NAND(b, I12)
I12 = NAND(d, c)
I13 = NAND(a, I12)"
1001.0111.0111.1111,38783,13,"O = NAND(I1, I23)
I1 = NAND(I2, I7)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(I5, I6)
I5 = NAND(b)
I6 = NAND(a)
I7 = NAND(I8, I22)
I8 = NAND(I9, I14)
I9 = NAND(c, I3)"
1001.0111.1000.0000,38784,12,"O = NAND(I1, I13)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(a)
I5 = NAND(I6, I13)
I6 = NAND(I7, I10)
I7 = NAND(c, I8)
I8 = NAND(d, I4)
I10 = NAND(b, I8)"
1001.0111.1000.0001,38785,12,"O = NAND(I1, I12)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(b, c)
I4 = NAND(I5, I8)
I5 = NAND(I6, I7)
I6 = NAND(c)
I7 = NAND(b)
I8 = NAND(I5, d)"
1001.0111.1000.0010,38786,10,"O = NAND(I1, I10)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(d, a)
I7 = NAND(b, I6)
I9 = NAND(c, b)"
1001.0111.1000.0011,38787,10,"O = NAND(I1, I21)
I1 = NAND(I2, I9)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(d, a)
I7 = NAND(b, I6)
I9 = NAND(I4, I3)"
1001.0111.1000.0110,38790,10,"O = NAND(I1, I10)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4, I8)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(a, d)
I7 = NAND(b, I8)
I8 = NAND(c, b)"
1001.0111.1000.0111,38791,10,"O = NAND(I1, I18)
I1 = NAND(I2, I8)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(a, d)
I7 = NAND(b)
I8 = NAND(I4, I3)"
1001.0111.1000.1000,38792,11,"O = NAND(I1, I28)
I1 = NAND(I2, I10)
I2 = NAND(d, I3)
I3 = NAND(I4, I10)
I4 = NAND(I5, I6)
I5 = NAND(c, I6)
I6 = NAND(b, I7)
I7 = NAND(a)
I10 = NAND(I4, I17)"
1001.0111.1000.1001,38793,12,"O = NAND(I1, I15)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(a)
I5 = NAND(I6, I10)
I6 = NAND(I7, I8)
I7 = NAND(c)
I8 = NAND(b, I4)
I10 = NAND(d, I6)"
1001.0111.1000.1010,38794,11,"O = NAND(I1, I15)
I1 = NAND(I2, I9)
I2 = NAND(d, I3)
I3 = NAND(I4, I7)
I4 = NAND(I5, I6)
I5 = NAND(c)
I6 = NAND(b, I7)
I7 = NAND(a)
I9 = NAND(I4, I14)"
1001.0111.1000.1011,38795,11,"O = NAND(I1, I11)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(c)
I4 = NAND(I5, I9)
I5 = NAND(I3, I7)
I7 = NAND(b, I8)
I8 = NAND(a)
I9 = NAND(d, I8)"
1001.0111.1000.1110,38798,12,"O = NAND(I1, I13)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(a, b)
I5 = NAND(I6, I11)
I6 = NAND(I3, I9)
I9 = NAND(b, I4)
I11 = NAND(d, I12)"
1001.0111.1000.1111,38799,11,"O = NAND(I1, I11)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(c)
I4 = NAND(I5, I9)
I5 = NAND(I3, I7)
I7 = NAND(b, I8)
I8 = NAND(a)
I9 = NAND(d, I8)"
1001.0111.1001.0110,38806,10,"O = NAND(I1, I10)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4, I8)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(a, b)
I7 = NAND(b, I8)
I8 = NAND(c, b)"
1001.0111.1001.1000,38808,11,"O = NAND(I1, I28)
I1 = NAND(I2, I10)
I2 = NAND(d, I3)
I3 = NAND(I4, I10)
I4 = NAND(I5, I6)
I5 = NAND(c, I6)
I6 = NAND(b, I7)
I7 = NAND(a, b)
I10 = NAND(I4, I17)"
1001.0111.1001.1001,38809,10,"O = NAND(I1, I24)
I1 = NAND(I2, I10)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I6)
I5 = NAND(c, I6)
I6 = NAND(b, I7)
I7 = NAND(a)"
1001.0111.1001.1010,38810,10,"O = NAND(I1, I10)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(a, b)
I7 = NAND(b, I6)
I9 = NAND(c, b)"
1001.0111.1001.1011,38811,10,"O = NAND(I1, I18)
I1 = NAND(I2, I8)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I6)
I5 = NAND(c)
I6 = NAND(b, I7)
I7 = NAND(a)
I8 = NAND(I4, I3)"
1001.0111.1001.1110,38814,11,"O = NAND(I1, I12)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(b, I4)
I4 = NAND(c, b)
I5 = NAND(I6, I4)
I6 = NAND(I7, I9)
I7 = NAND(c, I8)
I8 = NAND(a, b)
I9 = NAND(b, I8)"
1001.0111.1001.1111,38815,10,"O = NAND(I1, I11)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(c, b)
I4 = NAND(I5, I10)
I5 = NAND(I6, I8)
I6 = NAND(c, I3)
I8 = NAND(b, I3)"
1001.0111.1010.1000,38824,12,"O = NAND(I1, I15)
I1 = NAND(I2, I8)
I2 = NAND(I3, I6)
I3 = NAND(I4, I5)
I4 = NAND(d)
I5 = NAND(c, b)
I6 = NAND(c, I7)
I7 = NAND(a)
I8 = NAND(I9, I4)
I9 = NAND(I6, I12)"
1001.0111.1010.1001,38825,12,"O = NAND(I1, I19)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(a, c)
I5 = NAND(I6, I12)
I6 = NAND(I3, I9)
I9 = NAND(b, I10)
I10 = NAND(a, I4)"
1001.0111.1010.1010,38826,10,"O = NAND(I1, I10)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(a)
I7 = NAND(b, I6)
I9 = NAND(c, b)"
1001.0111.1010.1011,38827,10,"O = NAND(I1, I21)
I1 = NAND(I2, I9)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(a)
I7 = NAND(b, I6)
I9 = NAND(I4, I3)"
1001.0111.1010.1100,38828,12,"O = NAND(I1, I14)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(a, c)
I5 = NAND(I6, I12)
I6 = NAND(I3, I9)
I9 = NAND(b, I10)
I10 = NAND(a, I4)"
1001.0111.1010.1101,38829,11,"O = NAND(I1, I16)
I1 = NAND(I2, I13)
I2 = NAND(I3, I9)
I3 = NAND(I4, I5)
I4 = NAND(d, I5)
I5 = NAND(c, I6)
I6 = NAND(a, c)
I9 = NAND(I4, d)"
1001.0111.1010.1110,38830,11,"O = NAND(I1, I12)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(b, I4)
I4 = NAND(c, b)
I5 = NAND(I6, I4)
I6 = NAND(I7, I9)
I7 = NAND(c, I8)
I8 = NAND(a)
I9 = NAND(b, I8)"
1001.0111.1010.1111,38831,10,"O = NAND(I1, I15)
I1 = NAND(I2, I13)
I2 = NAND(I3, I9)
I3 = NAND(I4, I5)
I4 = NAND(d, I5)
I5 = NAND(c, I6)
I6 = NAND(a)
I9 = NAND(I4, d)"
1001.0111.1011.1100,38844,11,"O = NAND(I1, I12)
I1 = NAND(I2, I9)
I2 = NAND(I3, I5)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(c, d)
I6 = NAND(c, I7)
I7 = NAND(a, c)
I9 = NAND(b, I10)
I10 = NAND(a, I7)"
1001.0111.1011.1101,38845,11,"O = NAND(I1, I11)
I1 = NAND(I2, I8)
I2 = NAND(I3, I7)
I3 = NAND(I4, I5)
I4 = NAND(d)
I5 = NAND(c, I6)
I6 = NAND(a, c)
I7 = NAND(c, d)
I8 = NAND(b, I9)
I9 = NAND(a, I6)"
1001.0111.1011.1110,38846,11,"O = NAND(I1, I14)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4, I8)
I4 = NAND(I5, I9)
I5 = NAND(c, I6)
I6 = NAND(a, I7)
I7 = NAND(d, I8)
I8 = NAND(c, b)
I9 = NAND(b, I6)"
1001.0111.1011.1111,38847,10,"O = NAND(I1, I11)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(c, b)
I4 = NAND(I5, I10)
I5 = NAND(I6, I8)
I6 = NAND(c, I3)
I8 = NAND(b, I3)"
1001.0111.1110.1000,38888,13,"O = NAND(I1, I35)
I1 = NAND(I2, I17)
I2 = NAND(d, I3)
I3 = NAND(I4, I10)
I4 = NAND(I5, I9)
I5 = NAND(d, I6)
I6 = NAND(I7, I8)
I7 = NAND(c)
I8 = NAND(b)
I9 = NAND(b, c)
I10 = NAND(I4, a)"
1001.0111.1110.1001,38889,13,"O = NAND(I1, I24)
I1 = NAND(I2, I10)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, a)
I7 = NAND(b, I8)
I8 = NAND(a, I6)
I10 = NAND(I4, I3)"
1001.0111.1110.1010,38890,13,"O = NAND(I1, I23)
I1 = NAND(I2, I12)
I2 = NAND(d, I3)
I3 = NAND(I4, d)
I4 = NAND(I5, I9)
I5 = NAND(c, I6)
I6 = NAND(b, I7)
I7 = NAND(d, I8)
I8 = NAND(a)
I9 = NAND(b, I10)
I10 = NAND(c, I8)
I12 = NAND(I4, I7)"
1001.0111.1110.1011,38891,12,"O = NAND(I1, I12)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(a, d)
I4 = NAND(I5, I12)
I5 = NAND(I6, I9)
I6 = NAND(c, I7)
I7 = NAND(a, I3)
I9 = NAND(b, I7)"
1001.0111.1110.1110,38894,12,"O = NAND(I1, I21)
I1 = NAND(I2, I9)
I2 = NAND(d, I3)
I3 = NAND(d, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(a)
I7 = NAND(b, I6)
I9 = NAND(I4, I3)"
1001.0111.1110.1111,38895,11,"O = NAND(I1, I13)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(a, I4)
I4 = NAND(c, a)
I5 = NAND(I6, I12)
I6 = NAND(I7, I9)
I7 = NAND(c, I4)
I9 = NAND(b, I3)"
1001.0111.1111.1110,38910,11,"O = NAND(I1, I12)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(a, I4)
I4 = NAND(b, c)
I5 = NAND(I6, I4)
I6 = NAND(I7, I9)
I7 = NAND(c, I8)
I8 = NAND(a)
I9 = NAND(b, I8)"
1001.0111.1111.1111,38911,10,"O = NAND(I1, I11)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(a)
I4 = NAND(I5, I10)
I5 = NAND(I6, I8)
I6 = NAND(c, I3)
I8 = NAND(b, I3)"
1001.1000.1000.0000,39040,10,"O = NAND(I1)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(d, b)
I5 = NAND(I6, I10)
I6 = NAND(I3, I9)
I9 = NAND(a, b)"
1001.1000.1000.0001,39041,11,"O = NAND(I1)
I1 = NAND(I2, I6)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(I5, b)
I5 = NAND(a, b)
I6 = NAND(I7, I9)
I7 = NAND(I8, I5)
I8 = NAND(c, I9)
I9 = NAND(d, I10)
I10 = NAND(a, I5)"
1001.1000.1000.0010,39042,10,"O = NAND(I1, I11)
I1 = NAND(I2, I7)
I2 = NAND(I3, I7)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(b, c)
I6 = NAND(a, b)
I7 = NAND(c, I8)
I8 = NAND(d, a)"
1001.1000.1000.0011,39043,11,"O = NAND(I1, I15)
I1 = NAND(I2, I9)
I2 = NAND(I3, I7)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(a, c)
I6 = NAND(a, b)
I7 = NAND(c, I8)
I8 = NAND(b, I9)
I9 = NAND(c, I4)"
1001.1000.1000.0110,39046,12,"O = NAND(I1, I21)
I1 = NAND(I2, I3)
I2 = NAND(d, I3)
I3 = NAND(I4, I8)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(b, d)
I7 = NAND(a, b)
I8 = NAND(c, I9)
I9 = NAND(I7, I11)
I11 = NAND(a, d)"
1001.1000.1000.0111,39047,12,"O = NAND(I1, I16)
I1 = NAND(I2, I9)
I2 = NAND(d, I3)
I3 = NAND(I4, I8)
I4 = NAND(I5, I6)
I5 = NAND(c, I6)
I6 = NAND(a, b)
I8 = NAND(b, c)
I9 = NAND(I4, I14)"
1001.1000.1000.1000,39048,8,"O = NAND(I1)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(b)
I5 = NAND(c, I6)
I6 = NAND(d, I7)
I7 = NAND(a)"
1001.1000.1000.1001,39049,9,"O = NAND(I1)
I1 = NAND(I2, I6)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(b, I5)
I5 = NAND(b, a)
I6 = NAND(c, I7)
I7 = NAND(d, I8)
I8 = NAND(a, I5)"
1001.1000.1000.1010,39050,10,"O = NAND(I1, I11)
I1 = NAND(I2, I6)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(b, I5)
I5 = NAND(d, a)
I6 = NAND(c, I7)
I7 = NAND(d, I8)
I8 = NAND(I4, a)"
1001.1000.1000.1011,39051,9,"O = NAND(I1, I9)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(b, c)
I5 = NAND(c, I6)
I6 = NAND(d, I7)
I7 = NAND(I4, a)"
1001.1000.1000.1110,39054,11,"O = NAND(I1, I10)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(b)
I5 = NAND(c, I6)
I6 = NAND(d, I7)
I7 = NAND(I8, a)
I8 = NAND(b, I9)
I9 = NAND(d, c)
I10 = NAND(a, I7)"
1001.1000.1000.1111,39055,9,"O = NAND(I1, I8)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(b)
I5 = NAND(c, I6)
I6 = NAND(d, I7)
I7 = NAND(a)
I8 = NAND(a, b)"
1001.1000.1001.0000,39056,9,"O = NAND(I1)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(d, b)
I5 = NAND(I6, I10)
I6 = NAND(I3, I9)"
