K,n,δ,A,up
0.031,3.8,340.0,20.0,1.1
0.031,3.8,340.0,20.0,1.2
0.031,3.8,340.0,20.0,1.3
0.031,3.8,340.0,20.0,1.4
0.031,3.8,340.0,20.0,1.5
0.031,3.8,340.0,20.0,1.6
0.031,3.8,345.0,20.0,1.0
0.031,3.8,345.0,20.0,1.1
0.031,3.8,345.0,20.0,1.2
0.031,3.8,345.0,20.0,1.3
0.031,3.8,345.0,20.0,1.4
0.031,3.8,345.0,20.0,1.5
0.031,3.8,345.0,20.0,1.6
0.031,3.8,345.0,20.0,1.7
0.031,3.8,350.0,20.0,1.0
0.031,3.8,350.0,20.0,1.1
0.031,3.8,350.0,20.0,1.2
0.031,3.8,350.0,20.0,1.3
0.031,3.8,350.0,20.0,1.4
0.031,3.8,350.0,20.0,1.5
0.031,3.8,350.0,20.0,1.6
0.031,3.8,350.0,20.0,1.7
0.031,3.8,350.0,20.0,1.8
0.031,3.9,310.0,20.0,1.0
0.031,3.9,315.0,20.0,1.0
0.031,3.9,315.0,20.0,1.1
0.031,3.9,320.0,20.0,1.0
0.031,3.9,320.0,20.0,1.1
0.031,3.9,320.0,20.0,1.2
0.031,3.9,325.0,20.0,1.0
0.031,3.9,325.0,20.0,1.1
0.031,3.9,325.0,20.0,1.2
0.031,3.9,330.0,20.0,1.0
0.031,3.9,330.0,20.0,1.1
0.031,3.9,330.0,20.0,1.2
0.031,3.9,330.0,20.0,1.3
0.031,3.9,335.0,20.0,1.0
0.031,3.9,335.0,20.0,1.1
0.031,3.9,335.0,20.0,1.2
0.031,3.9,335.0,20.0,1.3
0.031,3.9,335.0,20.0,1.4
0.031,3.9,340.0,20.0,1.0
0.031,3.9,340.0,20.0,1.1
0.031,3.9,340.0,20.0,1.2
0.031,3.9,340.0,20.0,1.3
0.031,3.9,340.0,20.0,1.4
0.031,3.9,340.0,20.0,1.5
0.031,3.9,345.0,20.0,1.0
0.031,3.9,345.0,20.0,1.1
0.031,3.9,345.0,20.0,1.2
0.031,3.9,345.0,20.0,1.3
0.031,3.9,345.0,20.0,1.4
0.031,3.9,345.0,20.0,1.5
0.031,3.9,345.0,20.0,1.6
0.031,3.9,345.0,20.0,1.7
0.031,3.9,350.0,20.0,1.0
0.031,3.9,350.0,20.0,1.1
0.031,3.9,350.0,20.0,1.2
