Binary,Expresso_tts,Num_gates,Optimal_net,Permu_int,Num_in
01011011,"Or(And(x[0], ~x[2]), And(x[1], x[2]), And(~x[0], x[2]))",7,"O = NOR(I1, I2),I1 = NOR(c, b),I2 = NOR(I3, I4),I3 = NOR(b),I4 = NOR(I5),I5 = NOR(I6, a),I6 = NOR(c)",25,3
01011100,"Or(And(x[0], ~x[2]), And(~x[1], x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(b, c),I4 = NOR(c, I3)",139,3
01011101,"Or(x[0], And(~x[1], x[2]))",4,"O = NOR(I1),I1 = NOR(I2, b),I2 = NOR(a, I3),I3 = NOR(c)",11,3
01011110,"Or(And(~x[1], x[2]), And(~x[0], x[2]), And(x[0], ~x[2]))",8,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(a, b),I4 = NOR(I5),I5 = NOR(I6, I8),I6 = NOR(a, I3)",131,3
01011111,"Or(x[0], x[2])",4,"O = NOR(I1),I1 = NOR(a, I2),I2 = NOR(I3),I3 = NOR(b, c)",1,2
01100000,"Or(And(~x[0], x[1], ~x[2]), And(x[0], ~x[1], ~x[2]))",5,"O = NOR(I1, b),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(a, c),I4 = NOR(c, I3)",235,3
01100001,"Or(And(~x[0], x[1], ~x[2]), And(x[0], x[1], x[2]), And(x[0], ~x[1], ~x[2]))",8,"O = NOR(I1, I12),I1 = NOR(I2, I6),I2 = NOR(a, I3),I3 = NOR(a, I4),I4 = NOR(I5, b),I5 = NOR(c, b),I6 = NOR(I4, I3)",107,3
01100010,"Or(And(~x[0], x[1]), And(x[0], ~x[1], ~x[2]))",5,"O = NOR(I1, I4),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(a, c),I4 = NOR(b, a)",173,3
01100011,"Or(And(~x[0], x[1]), And(x[1], x[2]), And(x[0], ~x[1], ~x[2]))",7,"O = NOR(I1, I5),I1 = NOR(I2, I8),I2 = NOR(I3, I5),I3 = NOR(I4, c),I4 = NOR(b),I5 = NOR(a, I3)",45,3
01100100,"Or(And(x[0], ~x[1]), And(~x[0], x[1], ~x[2]))",5,"O = NOR(I1, I4),I1 = NOR(I2, I3),I2 = NOR(a),I3 = NOR(b, c),I4 = NOR(a, b)",173,3
