K,n,δ,A,up
0.051,6.7,335.0,20.0,1.0
0.051,6.7,335.0,20.0,1.1
0.051,6.7,335.0,20.0,1.2
0.051,6.7,335.0,20.0,1.3
0.051,6.7,335.0,20.0,1.4
0.051,6.7,335.0,20.0,1.5
0.051,6.7,335.0,20.0,1.6
0.051,6.7,340.0,20.0,1.0
0.051,6.7,340.0,20.0,1.1
0.051,6.7,340.0,20.0,1.2
0.051,6.7,340.0,20.0,1.3
0.051,6.7,340.0,20.0,1.4
0.051,6.7,340.0,20.0,1.5
0.051,6.7,340.0,20.0,1.6
0.051,6.7,340.0,20.0,1.7
0.051,6.7,345.0,20.0,1.0
0.051,6.7,345.0,20.0,1.1
0.051,6.7,345.0,20.0,1.2
0.051,6.7,345.0,20.0,1.3
0.051,6.7,345.0,20.0,1.4
0.051,6.7,345.0,20.0,1.5
0.051,6.7,345.0,20.0,1.6
0.051,6.7,345.0,20.0,1.7
0.051,6.7,345.0,20.0,1.8
0.051,6.7,350.0,20.0,1.0
0.051,6.7,350.0,20.0,1.1
0.051,6.7,350.0,20.0,1.2
0.051,6.7,350.0,20.0,1.3
0.051,6.7,350.0,20.0,1.4
0.051,6.7,350.0,20.0,1.5
0.051,6.7,350.0,20.0,1.6
0.051,6.7,350.0,20.0,1.7
0.051,6.7,350.0,20.0,1.8
0.051,6.7,350.0,20.0,1.9
0.051,6.8,290.0,20.0,1.0
0.051,6.8,295.0,20.0,1.0
0.051,6.8,300.0,20.0,1.0
0.051,6.8,300.0,20.0,1.1
0.051,6.8,305.0,20.0,1.0
0.051,6.8,305.0,20.0,1.1
0.051,6.8,310.0,20.0,1.0
0.051,6.8,310.0,20.0,1.1
0.051,6.8,310.0,20.0,1.2
0.051,6.8,315.0,20.0,1.0
0.051,6.8,315.0,20.0,1.1
0.051,6.8,315.0,20.0,1.2
0.051,6.8,315.0,20.0,1.3
0.051,6.8,320.0,20.0,1.0
0.051,6.8,320.0,20.0,1.1
0.051,6.8,320.0,20.0,1.2
0.051,6.8,320.0,20.0,1.3
0.051,6.8,325.0,20.0,1.0
0.051,6.8,325.0,20.0,1.1
0.051,6.8,325.0,20.0,1.2
0.051,6.8,325.0,20.0,1.3
0.051,6.8,325.0,20.0,1.4
0.051,6.8,330.0,20.0,1.0
0.051,6.8,330.0,20.0,1.1
0.051,6.8,330.0,20.0,1.2
0.051,6.8,330.0,20.0,1.3
0.051,6.8,330.0,20.0,1.4
0.051,6.8,330.0,20.0,1.5
0.051,6.8,335.0,20.0,1.0
0.051,6.8,335.0,20.0,1.1
0.051,6.8,335.0,20.0,1.2
0.051,6.8,335.0,20.0,1.3
0.051,6.8,335.0,20.0,1.4
0.051,6.8,335.0,20.0,1.5
0.051,6.8,335.0,20.0,1.6
0.051,6.8,340.0,20.0,1.0
0.051,6.8,340.0,20.0,1.1
0.051,6.8,340.0,20.0,1.2
0.051,6.8,340.0,20.0,1.3
0.051,6.8,340.0,20.0,1.4
0.051,6.8,340.0,20.0,1.5
0.051,6.8,340.0,20.0,1.6
0.051,6.8,340.0,20.0,1.7
0.051,6.8,345.0,20.0,1.0
0.051,6.8,345.0,20.0,1.1
0.051,6.8,345.0,20.0,1.2
0.051,6.8,345.0,20.0,1.3
0.051,6.8,345.0,20.0,1.4
0.051,6.8,345.0,20.0,1.5
0.051,6.8,345.0,20.0,1.6
0.051,6.8,345.0,20.0,1.7
0.051,6.8,345.0,20.0,1.8
0.051,6.8,350.0,20.0,1.0
0.051,6.8,350.0,20.0,1.1
0.051,6.8,350.0,20.0,1.2
0.051,6.8,350.0,20.0,1.3
0.051,6.8,350.0,20.0,1.4
0.051,6.8,350.0,20.0,1.5
0.051,6.8,350.0,20.0,1.6
0.051,6.8,350.0,20.0,1.7
0.051,6.8,350.0,20.0,1.8
0.051,6.8,350.0,20.0,1.9
0.051,6.9,295.0,20.0,1.0
0.051,6.9,300.0,20.0,1.0
0.051,6.9,300.0,20.0,1.1
0.051,6.9,305.0,20.0,1.0
0.051,6.9,305.0,20.0,1.1
0.051,6.9,310.0,20.0,1.0
0.051,6.9,310.0,20.0,1.1
0.051,6.9,310.0,20.0,1.2
0.051,6.9,315.0,20.0,1.0
0.051,6.9,315.0,20.0,1.1
0.051,6.9,315.0,20.0,1.2
0.051,6.9,315.0,20.0,1.3
0.051,6.9,320.0,20.0,1.0
0.051,6.9,320.0,20.0,1.1
0.051,6.9,320.0,20.0,1.2
0.051,6.9,320.0,20.0,1.3
0.051,6.9,325.0,20.0,1.0
0.051,6.9,325.0,20.0,1.1
0.051,6.9,325.0,20.0,1.2
0.051,6.9,325.0,20.0,1.3
0.051,6.9,325.0,20.0,1.4
0.051,6.9,330.0,20.0,1.0
0.051,6.9,330.0,20.0,1.1
0.051,6.9,330.0,20.0,1.2
0.051,6.9,330.0,20.0,1.3
0.051,6.9,330.0,20.0,1.4
0.051,6.9,330.0,20.0,1.5
0.051,6.9,335.0,20.0,1.0
0.051,6.9,335.0,20.0,1.1
0.051,6.9,335.0,20.0,1.2
0.051,6.9,335.0,20.0,1.3
0.051,6.9,335.0,20.0,1.4
0.051,6.9,335.0,20.0,1.5
0.051,6.9,335.0,20.0,1.6
0.051,6.9,340.0,20.0,1.0
0.051,6.9,340.0,20.0,1.1
0.051,6.9,340.0,20.0,1.2
0.051,6.9,340.0,20.0,1.3
0.051,6.9,340.0,20.0,1.4
0.051,6.9,340.0,20.0,1.5
0.051,6.9,340.0,20.0,1.6
0.051,6.9,340.0,20.0,1.7
0.051,6.9,345.0,20.0,1.0
0.051,6.9,345.0,20.0,1.1
0.051,6.9,345.0,20.0,1.2
0.051,6.9,345.0,20.0,1.3
0.051,6.9,345.0,20.0,1.4
0.051,6.9,345.0,20.0,1.5
0.051,6.9,345.0,20.0,1.6
0.051,6.9,345.0,20.0,1.7
0.051,6.9,345.0,20.0,1.8
0.051,6.9,350.0,20.0,1.0
0.051,6.9,350.0,20.0,1.1
0.051,6.9,350.0,20.0,1.2
0.051,6.9,350.0,20.0,1.3
0.051,6.9,350.0,20.0,1.4
0.051,6.9,350.0,20.0,1.5
0.051,6.9,350.0,20.0,1.6
0.051,6.9,350.0,20.0,1.7
0.051,6.9,350.0,20.0,1.8
0.051,6.9,350.0,20.0,1.9
0.051,7.0,295.0,20.0,1.0
0.051,7.0,300.0,20.0,1.0
0.051,7.0,300.0,20.0,1.1
0.051,7.0,305.0,20.0,1.0
0.051,7.0,305.0,20.0,1.1
0.051,7.0,310.0,20.0,1.0
0.051,7.0,310.0,20.0,1.1
0.051,7.0,310.0,20.0,1.2
0.051,7.0,315.0,20.0,1.0
0.051,7.0,315.0,20.0,1.1
0.051,7.0,315.0,20.0,1.2
0.051,7.0,315.0,20.0,1.3
0.051,7.0,320.0,20.0,1.0
0.051,7.0,320.0,20.0,1.1
0.051,7.0,320.0,20.0,1.2
0.051,7.0,320.0,20.0,1.3
0.051,7.0,325.0,20.0,1.0
0.051,7.0,325.0,20.0,1.1
0.051,7.0,325.0,20.0,1.2
0.051,7.0,325.0,20.0,1.3
0.051,7.0,325.0,20.0,1.4
0.051,7.0,330.0,20.0,1.0
0.051,7.0,330.0,20.0,1.1
0.051,7.0,330.0,20.0,1.2
0.051,7.0,330.0,20.0,1.3
0.051,7.0,330.0,20.0,1.4
0.051,7.0,330.0,20.0,1.5
0.051,7.0,335.0,20.0,1.0
0.051,7.0,335.0,20.0,1.1
0.051,7.0,335.0,20.0,1.2
0.051,7.0,335.0,20.0,1.3
0.051,7.0,335.0,20.0,1.4
0.051,7.0,335.0,20.0,1.5
0.051,7.0,335.0,20.0,1.6
0.051,7.0,340.0,20.0,1.0
0.051,7.0,340.0,20.0,1.1
0.051,7.0,340.0,20.0,1.2
0.051,7.0,340.0,20.0,1.3
0.051,7.0,340.0,20.0,1.4
0.051,7.0,340.0,20.0,1.5
0.051,7.0,340.0,20.0,1.6
0.051,7.0,340.0,20.0,1.7
0.051,7.0,345.0,20.0,1.0
0.051,7.0,345.0,20.0,1.1
0.051,7.0,345.0,20.0,1.2
0.051,7.0,345.0,20.0,1.3
