K,n,up,bistability,cri,region
0.011,6.8,4.0,1.0,1.0,2.0
0.011,6.8,5.0,1.0,1.0,2.0
0.011,6.8,6.0,1.0,1.0,2.0
0.011,6.8,7.0,1.0,1.0,2.0
0.011,6.8,8.0,1.0,1.0,2.0
0.011,6.8,9.0,1.0,1.0,2.0
0.011,6.8,10.0,1.0,1.0,2.0
0.011,6.9,1.0,1.0,1.0,2.0
0.011,6.9,2.0,1.0,1.0,2.0
0.011,6.9,3.0,1.0,1.0,2.0
0.011,6.9,4.0,1.0,1.0,2.0
0.011,6.9,5.0,1.0,1.0,2.0
0.011,6.9,6.0,1.0,1.0,2.0
0.011,6.9,7.0,1.0,1.0,2.0
0.011,6.9,8.0,1.0,1.0,2.0
0.011,6.9,9.0,1.0,1.0,2.0
0.011,6.9,10.0,1.0,1.0,2.0
